linking_ID,title,arabic_sugar_per_portion_grams,dutch_sugar_per_portion_grams,category,Arabic_Recipes_URL,Dutch_Recipes_URL
73,Kaneelpepernoten,20.0,6.2,koekjes,https://kitchen.sayidaty.net/node/6260/بسكويت-القرفة-باللوز-على-الطريقة-المغربية/حلويات,https://www.ah.nl/allerhande/recept/R-R859210/kaneelkruidnoten
218,Pannenkoeken met walnotenijs,7.3,30.9,pannenkoek,https://kitchen.sayidaty.net/node/13313/بان-كيك-بالفواكة-للرجيم/حلويات,https://www.ah.nl/allerhande/recept/R-R302982/pannenkoeken-met-walnotenijs
57,Knapperig flensje met slagroomijs en gemarineerde aardbeien,69.3,0.0,pannenkoek,https://kitchen.sayidaty.net/node/10884/بان-كيك-بالفراولة-والكريمة/حلويات,https://www.ah.nl/allerhande/recept/R-R70128/knapperig-flensje-met-slagroomijs-en-gemarineerde-aardbeien
70,Winterfruit pannenkoekjes,7.3,2.5,pannenkoek,https://kitchen.sayidaty.net/node/10237/بان-كيك-بالفواكة-للرجيم/حلويات,https://www.ah.nl/allerhande/recept/R-R136248/winterfruit-pannenkoekjes
50,Chocoladepannenkoek met frambozen,9.5,6.6,pannenkoek,https://kitchen.sayidaty.net/node/11806/بان-كيك-بالشوكولاتة/حلويات,https://www.ah.nl/allerhande/recept/R-R553710/chocoladepannenkoek-met-frambozen
153,Blauwebessenpannenkoekjes,0.0,0.0,pannenkoek,https://kitchen.sayidaty.net/node/8269/بان-كيك-الشوفان-والبلوبيري/حلويات,https://www.ah.nl/allerhande/recept/R-R568638/blauwebessenpannenkoekjes
239,Pannenkoek met bosvruchten,3.0,12.3,pannenkoek,https://kitchen.sayidaty.net/node/3825/بان-كيك-بالكرز-لرجيمك/حلويات,https://www.ah.nl/allerhande/recept/R-R65906/pannenkoek-met-bosvruchten
32,Poffer met zomerfruitsalade,2.8,5.5,poffertjes,https://kitchen.sayidaty.net/node/11517/قطايف-العصافيري-بالحشوة-المبتكرة-بالفيديو/حلويات-رمضان/وصفات-الفيديو,https://www.ah.nl/allerhande/recept/R-R553706/poffer-met-zomerfruitsalade
79,Poffertjestoren,0.0,0.0,poffertjes,https://kitchen.sayidaty.net/node/2034/قطايف-بالنوتيلا-اللذيذة/حلويات,https://www.ah.nl/allerhande/recept/R-R225552/poffertjestoren
103,Poffertjes met dadelsaus,1.9,0.0,poffertjes,https://kitchen.sayidaty.net/node/339/قطايف-قمر-الدين-المميزة/وصفات-رمضانية,https://www.ah.nl/allerhande/recept/R-R465520/poffertjes-met-dadelsaus
243,Wafels met frambozen-muntijs,5.0,0.0,overig,https://kitchen.sayidaty.net/node/10170/الوافل-بالنوتيلا-والفواكة/حلويات,https://www.ah.nl/allerhande/recept/R-R449152/wafels-met-frambozen-muntijs
232,Vruchtensticks,15.0,0.0,overig,https://kitchen.sayidaty.net/node/13434/سلطة-الفواكة/حلويات,https://www.ah.nl/allerhande/recept/R-R793740/vruchtensticks
95,Gevulde appelbollen,66.7,0.0,overig,https://kitchen.sayidaty.net/node/151/كب-كيك-التفاح-مع-اللوز/حلويات,https://www.ah.nl/allerhande/recept/R-R292528/gevulde-appelbollen
217,Yoghurtijs met bramen en munt,100.0,0.0,overig,https://kitchen.sayidaty.net/node/12040/آيس-كريم-البلوبيري/حلويات,https://www.ah.nl/allerhande/recept/R-R442476/yoghurtijs-met-bramen-en-munt
20,Aardbeiensorbet,8.0,5.5,overig,https://kitchen.sayidaty.net/node/10434/حلى-الزبادي-بالفراولة/حلويات,https://www.ah.nl/allerhande/recept/R-R276912/aardbeiensorbet
170,Peren-bosbessencrumble met port,33.3,15.6,overig,https://kitchen.sayidaty.net/node/13399/مبروشة-مربى-التوت-بالفيديو/حلويات/وصفات-الفيديو,https://www.ah.nl/allerhande/recept/R-R591812/peren-bosbessencrumble-met-port
1,Fruittaartjes,0.0,0.0,overig,https://kitchen.sayidaty.net/node/11910/كيك-اسفنجي-بالكريمة-والفواكة/حلويات,https://www.ah.nl/allerhande/recept/R-R502236/fruittaartjes
71,Biogarderoomvlaai,18.8,17.1,overig,https://kitchen.sayidaty.net/node/10224/تارت-بالفواكة-المشكلة/حلويات,https://www.ah.nl/allerhande/recept/R-R97200/biogarderoomvlaai
9,Wentelteefjes met kersen-limoenjam,0.0,0.6,overig,https://kitchen.sayidaty.net/node/10027/فرنش-توست-بالنوتيلا/حلويات,https://www.ah.nl/allerhande/recept/R-R377994/wentelteefjes-met-kersen-limoenjam
63,Zeeuwse bolussen,19.3,25.7,overig,https://kitchen.sayidaty.net/node/9847/خبز-الزبيب-والقرفة/حلويات,https://www.ah.nl/allerhande/recept/R-R187928/zeeuwse-bolussen
85,Warme wafel met rood fruit,17.0,0.0,overig,https://kitchen.sayidaty.net/node/9467/وافل-الفواكة-والعسل/حلويات,https://www.ah.nl/allerhande/recept/R-R818510/warme-wafel-met-rood-fruit
195,Feestelijke kerstkoekjes,63.8,2.8,overig,https://kitchen.sayidaty.net/node/9418/كوكيز-عيد-الأضحى/حلويات,https://www.ah.nl/allerhande/recept/R-R517146/feestelijke-kerstkoekjes
123,Luchtige vanillehangop,3.0,37.1,overig,https://kitchen.sayidaty.net/node/9390/الزبادي-بنكهة-التوت-والفانيليا/حلويات,https://www.ah.nl/allerhande/recept/R-R431322/luchtige-vanillehangop
156,Wafels met kwarktopping en aardbeien,5.0,2.4,overig,https://kitchen.sayidaty.net/node/8235/الوافل-الوصفة-الأصلية/حلويات,https://www.ah.nl/allerhande/recept/R-R394364/wafels-met-kwarktopping-en-aardbeien
11,Bramenhangop met pistache,12.5,14.7,overig,https://kitchen.sayidaty.net/node/7337/حلى-الزبادي-بالتوت/حلويات,https://www.ah.nl/allerhande/recept/R-R749472/bramenhangop-met-pistache
62,Gevulde appeltjes uit de oven,5.8,11.8,overig,https://kitchen.sayidaty.net/node/6796/تفاح-بالقرفة-والزبيب-بالفرن/حلويات,https://www.ah.nl/allerhande/recept/R-R453428/gevulde-appeltjes-uit-de-oven
86,Chipolatapudding,50.0,0.0,overig,https://kitchen.sayidaty.net/node/6737/حلى-كاسات-الشوكولاتة-بالكراميل/حلويات,https://www.ah.nl/allerhande/recept/R-R597290/chipolatapudding
58,Chocoladetoetje met banaan,8.3,25.0,overig,https://kitchen.sayidaty.net/node/2289/كاسترد-بالشوكولاتة-لأطفالك/حلويات,https://www.ah.nl/allerhande/recept/R-R66002/chocoladetoetje-met-banaan
194,Pietenkoekjes,95.0,0.0,overig,https://kitchen.sayidaty.net/node/1322/باغز-باني-كوكيز-لأطفالكِ-في-العيد/حلويات,https://www.ah.nl/allerhande/recept/R-R861122/pietenkoekjes
56,Letterkoekjes,25.0,37.4,overig,https://kitchen.sayidaty.net/node/6597/الكوكيز-الملون-بالفيديو/حلويات/وصفات-الفيديو,https://www.ah.nl/allerhande/recept/R-R911298/letterkoekjes
139,Cranberrybollen met pecannoten,23.0,5.0,overig,https://kitchen.sayidaty.net/node/6569/كرات-الشوفان-بالتوت-البري/حلويات,https://www.ah.nl/allerhande/recept/R-R868884/cranberrybollen-met-pecannoten
99,Frambozen met witte-chocoladeroom,0.0,2.1,overig,https://kitchen.sayidaty.net/node/6516/ترايفل-التوت-بالشوكولاتة/حلويات,https://www.ah.nl/allerhande/recept/R-R8574/frambozen-met-witte-chocoladeroom
26,Appel met amandel uit de oven,11.5,0.0,overig,https://kitchen.sayidaty.net/node/6477/التفاح-المخبوز-بالعسل-والجوز/حلويات,https://www.ah.nl/allerhande/recept/R-R212318/appel-met-amandel-uit-de-oven
6,Yoghurtijs met aardbei en appel,0.0,1.0,overig,https://kitchen.sayidaty.net/node/4094/آيس-كريم-باللبن-بنكهة-الفراولة-خطوة-بخطوة-بالصور/حلويات/خطوة-بخطوة,https://www.ah.nl/allerhande/recept/R-R831004/yoghurtijs-met-aardbei-en-appel
77,Chocoladedip met aardbeien,0.0,0.0,overig,https://kitchen.sayidaty.net/node/4026/الشوكولاتة-البيضاء-بالفراولة-والمارشميلو/حلويات,https://www.ah.nl/allerhande/recept/R-R476814/chocoladedip-met-aardbeien
38,Bossche bollen,16.5,0.0,overig,https://kitchen.sayidaty.net/node/3584/إكلير-الشوكولاتة-الشهي/حلويات,https://www.ah.nl/allerhande/recept/R-R318772/bossche-bollen
100,Soesjestaartje,11.5,2.0,overig,https://kitchen.sayidaty.net/node/2882/البروفيترول..-لضيافة-مميزة/حلويات,https://www.ah.nl/allerhande/recept/R-R517074/soesjestaartje
15,Verse fruitvlaai met abrikozen,14.9,61.9,overig,https://kitchen.sayidaty.net/node/2819/فطيرة-الفاكهة-المميزة/حلويات,https://www.ah.nl/allerhande/recept/R-R187952/verse-fruitvlaai-met-abrikozen
209,Kruidkoek,25.0,11.2,overig,https://kitchen.sayidaty.net/node/2425/الكيك-الإسفنجي-الاساسي-الهش/حلويات,https://www.ah.nl/allerhande/recept/R-R584400/kruidkoek
49,Eenpersoons appel-spijstaartjes,4.2,77.5,overig,https://kitchen.sayidaty.net/node/2285/شترودل-بالتفاح-وصفة-سهلة-وسريعة-التحضير/حلويات,https://www.ah.nl/allerhande/recept/R-R113298/eenpersoons-appel-spijstaartjes
60,Wentelteefjes     ,21.0,1.1,overig,https://kitchen.sayidaty.net/node/10302/حلى-فرنش-توست-بالفيديو/حلويات/وصفات-الفيديو,https://www.ah.nl/allerhande/recept/R-R8370/wentelteefjes
82,Broodschotel met appel,46.3,1.0,overig,https://kitchen.sayidaty.net/node/12364/فرينش-توست-بالتفاح-للفطور/وصفات-فطور,https://www.ah.nl/allerhande/recept/R-R373058/broodschotel-met-appel
181,Wentelteefjes met frambozen,3.0,3.9,overig,https://kitchen.sayidaty.net/node/10009/فرنش-توست-بالقرفة/حلويات,https://www.ah.nl/allerhande/recept/R-R457406/wentelteefjes-met-frambozen
,,533.6,356.9,,,
